epoch,hidden_channels,num_layers,num_epoch,patience,lr,weight_decay,conv_type,aggr,end,dropout,p,factor,eta_min,T_max,lr_scheduler,optimizer,type_model,scaler,dim_reduction,num_head,pca_threshold,eps
300,16,3,300,50,0.001,1e-05,GAT,mean,True,0.0,5.0,0.5,,300.0,ReduceLROnPlateau,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0,SAGE,mean,True,0.01,,,1e-05,300.0,CosineAnnealingLR,AdamW,ResidualHeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0,GAT,sum,True,0.01,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,16,3,300,50,0.001,1e-05,GAT,sum,True,0.0,5.0,0.5,,300.0,ReduceLROnPlateau,AdamW,HeteroGNN,no,no,,,
240,32,2,300,50,0.001,0.0,Transformer,mean,True,0.0,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,64,4,300,50,0.001,0.0,SAGE,sum,True,0.01,,,1e-05,300.0,CosineAnnealingLR,AdamW,ResidualHeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0005,GAT,mean,True,0.0,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,16,3,300,50,0.001,1e-05,GAT,mean,True,0.01,5.0,0.5,,300.0,ReduceLROnPlateau,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0,SAGE,mean,True,0.01,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0005,GAT,sum,True,0.0,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0,Transformer,sum,True,0.05,5.0,0.5,,300.0,ReduceLROnPlateau,AdamW,ResidualHeteroGNN,no,no,,,
300,16,3,300,50,0.001,1e-05,GAT,sum,True,0.01,5.0,0.5,,300.0,ReduceLROnPlateau,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0,GAT,sum,True,0.01,,,1e-05,300.0,CosineAnnealingLR,AdamW,ResidualHeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0005,GAT,mean,True,0.01,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,32,2,300,50,0.001,0.0,Transformer,mean,True,0.01,5.0,0.5,,300.0,ReduceLROnPlateau,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0,GAT,mean,True,0.0,5.0,0.5,,300.0,ReduceLROnPlateau,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0005,GAT,sum,True,0.01,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0001,GAT,mean,True,0.0,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0005,GAT,sum,True,0.0,,,1e-05,300.0,CosineAnnealingLR,AdamW,ResidualHeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0001,GAT,sum,True,0.0,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0005,GAT,mean,True,0.01,,,1e-05,300.0,CosineAnnealingLR,AdamW,ResidualHeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0,GAT,mean,True,0.01,5.0,0.5,,300.0,ReduceLROnPlateau,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0001,GAT,mean,True,0.01,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0005,GAT,sum,True,0.01,,,1e-05,300.0,CosineAnnealingLR,AdamW,ResidualHeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0,GAT,mean,True,0.01,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0001,GAT,sum,True,0.01,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0,Transformer,sum,True,0.0,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0,GAT,sum,True,0.01,5.0,0.5,,300.0,ReduceLROnPlateau,AdamW,HeteroGNN,no,no,,,
300,64,2,300,50,0.001,0.0,Transformer,mean,True,0.0,5.0,0.5,,300.0,ReduceLROnPlateau,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,1e-05,GAT,mean,True,0.0,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0001,GAT,mean,True,0.0,,,1e-05,300.0,CosineAnnealingLR,AdamW,ResidualHeteroGNN,no,no,,,
300,32,3,300,50,0.001,0.0,Transformer,sum,True,0.05,5.0,0.5,,300.0,ReduceLROnPlateau,AdamW,HeteroGNN,no,no,,,
300,32,3,300,50,0.001,1e-05,GAT,sum,True,0.0,,,1e-05,300.0,CosineAnnealingLR,AdamW,HeteroGNN,no,no,,,
